cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
818113,operator la instalații automate pentru prelucrarea topiturii de sticlă,operator la instalatii automate pentru prelucrarea topiturii de sticla,operator la instalatii automate pentru prelucrarea topiturii de sticla/operatoare la instalatii automate pentru prelucrarea topiturii de sticla,90.0,40,16,24,4,36,62.77661769259075,medium
712413,sudor geomembrană,sudor geomembrana,sudor aparat de sudura cu fasciul de electroni,85.5,52,26,26,19,33,62.59091355065539,medium
226605,terapeut vocal,terapeut vocal,terapeut aromaterapie,85.5,63,29,34,24,39,62.58701420541434,medium
612105,crescător bovine,crescator bovine,crescator bovine/crescatoare bovine,90.0,47,30,17,8,39,62.51144342406851,medium
311540,tehnician mecatronist,tehnician mecatronist,tehnician mecatronist,100.0,63,28,35,24,39,62.37099621605784,medium
263615,harmonist,harmonist,tehnician mecatronist,74.11764705882352,63,28,35,24,39,62.37099621605784,medium
214607,expert inginer metalurg,expert inginer metalurg,inginer metalurg,95.0,50,17,33,16,34,62.0314237930061,medium
214606,consilier inginer metalurg,consilier inginer metalurg,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214601,inginer metalurgie extractivă,inginer metalurgie extractiva,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214615,inginer metalurgie neferoasă,inginer metalurgie neferoasa,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214608,inspector de specialitate inginer metalurg,inspector de specialitate inginer metalurg,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214623,proiectant inginer metalurg,proiectant inginer metalurg,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214609,referent de specialitate inginer metalurg,referent de specialitate inginer metalurg,inginer metalurg,90.0,50,17,33,16,34,62.0314237930061,medium
214603,subinginer metalurgist,subinginer metalurgist,inginer metalurg,84.21052631578947,50,17,33,16,34,62.0314237930061,medium
516502,instructor auto,instructor auto,instructor auto,100.0,62,22,40,24,38,62.00864028720023,medium
341601,instructor școlar auto,instructor scolar auto,instructor auto,95.0,62,22,40,24,38,62.00864028720023,medium
516501,instructor școlar auto,instructor scolar auto,instructor auto,95.0,62,22,40,24,38,62.00864028720023,medium
342215,instructor educație acvatică,instructor educatie acvatica,instructor auto,85.5,62,22,40,24,38,62.00864028720023,medium
432311,instructor revizie vagoane,instructor revizie vagoane,instructor auto,85.5,62,22,40,24,38,62.00864028720023,medium
721116,modelor prototipuri auto,modelor prototipuri auto,instructor auto,85.5,62,22,40,24,38,62.00864028720023,medium
315420,navigator instructor informare,navigator instructor informare,instructor auto,85.5,62,22,40,24,38,62.00864028720023,medium
315505,operator radionavigant instructor aviație,operator radionavigant instructor aviatie,instructor auto,85.5,62,22,40,24,38,62.00864028720023,medium
133006,director departament informatică,director departament informatica,cadru didactic in invatamantul superior in informatica,85.5,140,71,69,69,71,61.8582059240336,medium
133005,director divizie informatică,director divizie informatica,cadru didactic in invatamantul superior in informatica,85.5,140,71,69,69,71,61.8582059240336,medium
133003,șef atelier informatică,sef atelier informatica,cadru didactic in invatamantul superior in informatica,85.5,140,71,69,69,71,61.8582059240336,medium
133004,șef laborator informatică,sef laborator informatica,cadru didactic in invatamantul superior in informatica,85.5,140,71,69,69,71,61.8582059240336,medium
712609,instalator instalații tehnico-sanitare și de gaze,instalator instalatii tehnico-sanitare si de gaze,instalator instalatii tehnico-sanitare si de gaze pentru bucatarii/instalatoare instalatii tehnico-sanitare si de gaze pentru bucatarii,90.0,49,21,28,7,42,61.7632192949291,medium
264224,jurnalist TV (studii medii),jurnalist tv (studii medii),jurnalist de sport,85.5,56,23,33,18,38,61.47880620561963,medium
251108,inginer viziune computerizată,inginer viziune computerizata,inginer viziune computerizata/inginera viziune computerizata,90.0,52,32,20,24,28,61.33646946672597,medium
721205,operator tăiere,operator taiere,operator taiere manuala articole marochinarie,90.0,21,5,16,13,8,60.66303666566702,medium
234201,profesor în învățământul preșcolar,profesor in invatamantul prescolar,profesor in invatamantul prescolar pentru elevi cu nevoi speciale,90.0,58,34,24,19,39,60.474599173598584,medium
821221,confecționer becuri,confectioner becuri,confectioner arcuri,89.47368421052632,41,16,25,12,29,60.45041314996355,medium
731723,confecționer mături,confectioner maturi,confectioner arcuri,89.47368421052632,41,16,25,12,29,60.45041314996355,medium
731821,confecționer prețuri,confectioner preturi,confectioner arcuri,87.17948717948718,41,16,25,12,29,60.45041314996355,medium
731722,"confecționer bidinele, pensule, perii","confectioner bidinele, pensule, perii",confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
821214,confecționer circuite integrate,confectioner circuite integrate,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
731714,"confecționer cuțite, brice, brățări, andrele, agrafe, inele","confectioner cutite, brice, bratari, andrele, agrafe, inele",confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
731906,confecționer flori artificiale,confectioner flori artificiale,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
752308,confecționer gămălii chibrituri,confectioner gamalii chibrituri,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
821218,confecționer lămpi fluorescente,confectioner lampi fluorescente,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
731715,"confecționer nasturi, piepteni","confectioner nasturi, piepteni",confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
731903,confecționer proteze ortopedice,confectioner proteze ortopedice,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
753204,confecționer reparator cravate,confectioner reparator cravate,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
817105,confecționer tambur filigranare,confectioner tambur filigranare,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
731824,confecționer tricotaje după comandă,confectioner tricotaje dupa comanda,confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
753604,"curelar, confecționer harnașamente","curelar, confectioner harnasamente",confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
753102,"lenjer, confecționer lenjerie după comandă","lenjer, confectioner lenjerie dupa comanda",confectioner arcuri,85.5,41,16,25,12,29,60.45041314996355,medium
231001,asistent universitar,asistent universitar,asistent universitar,100.0,84,32,52,14,70,60.42506307440793,medium
334303,asistent manager,asistent manager,asistent manager,100.0,41,18,23,11,30,60.22986393022951,medium
112029,manager,manager,asistent manager,90.0,41,18,23,11,30,60.22986393022951,medium
122110,manager clienți strategici,manager clienti strategici,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
263218,manager consorțiu turistic,manager consortiu turistic,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
143919,manager destinație turistică,manager destinatie turistica,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
242108,manager îmbunătățire procese,manager imbunatatire procese,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
121126,manager relații financiare externe,manager relatii financiare externe,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
242119,manager transformare digitală,manager transformare digitala,asistent manager,85.5,41,18,23,11,30,60.22986393022951,medium
216111,arhitect de interior,arhitect de interior,arhitect de interior/arhitecta de interior,90.0,47,29,18,23,24,60.222089083561166,medium
216101,arhitect clădiri,arhitect cladiri,arhitect de interior/arhitecta de interior,85.5,47,29,18,23,24,60.222089083561166,medium
216103,arhitect restaurări,arhitect restaurari,arhitect de interior/arhitecta de interior,85.5,47,29,18,23,24,60.222089083561166,medium
216402,arhitect urbanism,arhitect urbanism,arhitect de interior/arhitecta de interior,85.5,47,29,18,23,24,60.222089083561166,medium
