cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
265423,mediaplanner,mediaplanner,media planner,96.0,42,14,28,15,27,56.11819374552416,medium
215149,inginer electrician,inginer electrician,inginer electrician,100.0,108,42,66,58,50,56.03217404630386,medium
215148,ofițer electrician,ofiter electrician,inginer electrician,81.08108108108108,108,42,66,58,50,56.03217404630386,medium
242306,consilier orientare privind cariera,consilier orientare privind cariera,consilier orientare in cariera,92.3076923076923,56,25,31,15,41,55.900338481551834,medium
263221,specialist planificare teritorială,specialist planificare teritoriala,proiectant planificare teritoriala,85.29411764705883,38,19,19,20,18,55.89162181694215,medium
818110,sablator produse din sticlă,sablator produse din sticla,asamblor produse din plastic,83.63636363636363,37,13,24,6,31,55.841523042191625,medium
112039,manager în servicii sociale,manager in servicii sociale,manager servicii sociale,94.11764705882352,114,56,58,19,95,55.749822468767135,medium
342308,instructor canioning,instructor canioning,instructor camioane,82.05128205128204,43,25,18,15,28,55.6992745847695,medium
516901,"agent dezinfecție, deratizare, dezinsecție","agent dezinfectie, deratizare, dezinsectie","lucrator dezinfectie, deratizare, dezinsectie",89.65517241379311,31,19,12,15,16,55.695620488267515,medium
134906,"șef centru dezinfecție, deratizare și dezinsecție","sef centru dezinfectie, deratizare si dezinsectie","lucrator dezinfectie, deratizare, dezinsectie",82.97872340425532,31,19,12,15,16,55.695620488267515,medium
263414,psiholog școlar,psiholog scolar,psiholog scolar,100.0,45,24,21,18,27,55.51859053656079,medium
226603,logoped,logoped,logoped,100.0,87,73,14,36,51,55.42795007093887,medium
311207,tehnician proiectant în construcții,tehnician proiectant in constructii,tehnician proiectant constructii civile,86.48648648648648,42,16,26,20,22,55.38702582115516,medium
214925,"cercetător în tehnologia chimică a produselor textile, pieii, blănurilor și înlocuitorilor","cercetator in tehnologia chimica a produselor textile, pieii, blanurilor si inlocuitorilor","cercetator in tehnologia produselor textile, pieii, blanurilor si incaltamintei",85.20710059171599,30,20,10,13,17,55.36687062124162,medium
131104,medic veterinar șef,medic veterinar sef,medic veterinar oficial,80.95238095238095,52,35,17,12,40,55.29717232134762,medium
111233,consul,consul,consul,100.0,39,15,24,15,24,55.24958944120831,medium
814209,operator mase plastice,operator mase plastice,operator presare mase plastice,84.61538461538461,40,20,20,7,33,55.19273994475119,medium
814203,operator la prelucrarea maselor plastice,operator la prelucrarea maselor plastice,operator presare mase plastice,82.85714285714286,40,20,20,7,33,55.19273994475119,medium
343525,disc jockey,disc jockey,disc-jockey,90.9090909090909,39,19,20,7,32,55.18306917072695,medium
311502,maistru instalații navale,maistru instalatii navale,maistru instalatii sanitare,84.61538461538461,49,23,26,6,43,55.17875257749675,medium
713101,tapetar,tapetar,tapetar,100.0,35,13,22,3,32,55.1298011355441,medium
214409,inginer mecanică fină,inginer mecanica fina,inginer mecanic minier,83.72093023255815,27,19,8,10,17,55.11258277545994,medium
753114,confecționer produse textile,confectioner produse textile,designer produse textile,80.76923076923077,27,19,8,10,17,55.11258277545994,medium
243302,reprezentant vânzări în domeniul medical,reprezentant vanzari in domeniul medical,reprezentant vanzari in domeniul medical,100.0,36,20,16,15,21,55.0810018826952,medium
121121,controlor financiar,controlor financiar,controlor financiar,100.0,37,17,20,7,30,55.07846526185902,medium
121127,controlor revizor financiar,controlor revizor financiar,controlor financiar,82.6086956521739,37,17,20,7,30,55.07846526185902,medium
214539,enolog,enolog,enolog,100.0,59,35,24,15,44,54.97508018472945,medium
213305,ecolog,ecolog,enolog,83.33333333333334,59,35,24,15,44,54.97508018472945,medium
265252,redactor muzical,redactor muzical,redactor medical,87.5,23,16,7,12,11,54.96525839252017,medium
334403,recepționer medical,receptioner medical,redactor medical,80.0,23,16,7,12,11,54.96525839252017,medium
334401,registrator medical,registrator medical,redactor medical,80.0,23,16,7,12,11,54.96525839252017,medium
531102,guvernantă,guvernanta,guvernanta,100.0,36,16,20,4,32,54.87420317865971,medium
