cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
711903,săpător fântâni,sapator fantani,operator lianti,66.66666666666667
263632,secretar culte,secretar culte,sergent,69.23076923076923
412002,secretară dactilografă,secretara dactilografa,dactilograf/dactilografa,69.56521739130434
818122,securizator geam,securizator geam,curator gradini botanice,66.66666666666667
811105,semnalist-cuplător,semnalist-cuplator,sculptor,67.5
265220,solist concertist,solist concertist,analist contabil,60.60606060606061
265215,solist vocal,solist vocal,petrolist calificat,67.5
912103,spălătoreasă lenjerie,spalatoreasa lenjerie,salahor,64.28571428571429
263633,stareț – stareță,staret – stareta,tapetar,69.23076923076923
413102,stenodactilografă,stenodactilografa,geograf,69.23076923076923
753302,stopeur,stopeur,operator agregat de cojit/operatoare agregat de cojit,65.45454545454547
732304,strungar șlefuitor tipografie,strungar slefuitor tipografie,maistru tipograf,69.67741935483872
722413,strungar universal,strungar universal,gunoier,64.28571428571429
213228,subinginer îmbunătățiri funciare,subinginer imbunatatiri funciare,acar,67.5
215211,subinginer reglaje subansamble,subinginer reglaje subansamble,inginer cariere,66.00000000000001
311539,surveyor fluvial,surveyor fluvial,lucrator motoare nave fluviale,66.66666666666667
752201,tâmplar universal,tamplar universal,manager magazin universal,65.76923076923076
711304,"tăietor, șlefuitor, lustruitor piatră, marmură","taietor, slefuitor, lustruitor piatra, marmura",armurier,64.28571428571429
413107,telebanker,telebanker,depanator telefoane mobile/depanatoare telefoane mobile,63.0
413104,telefaxist,telefaxist,inginer comunicatii prin satelit/inginera comunicatii prin satelit,60.00000000000001
721304,tinichigiu industrial,tinichigiu industrial,inginer proiectant utilaje industriale,69.32432432432432
817213,tocatorist-defibratorist,tocatorist-defibratorist,barista,65.45454545454547
721108,topitor aliaje tipografie,topitor aliaje tipografie,editor,68.4
834404,tractorist portuar,tractorist portuar,indrumator activitati portuare,69.67741935483872
343517,traducător (studii medii),traducator (studii medii),traducator subtitrari,65.21739130434783
264306,traducător (studii superioare),traducator (studii superioare),traducator subtitrari,66.66666666666667
264311,translator emisie,translator emisie,agent salvator minier,68.42105263157895
817216,tratamentist PFL,tratamentist pfl,operator de cuptor de tratament termic/operatoare de cuptor de tratament termic,65.76923076923076
