conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/e74513c3-8ba8-462f-978c-0450522f4427,2310,cadru didactic în învățământul superior în chimie,"lector universitar  în domeniul chimiei
conferențiar universitar  în domeniul chimiei
preparator învățământul universitar  în domeniul chimiei
lector in domeniul chimiei
asistent universitar  în domeniul chimiei
profesor universitar de chimie
lector în științe chimice
lector în științe chimice/lector în chimie
profesor de chimie
profesor universitar  în domeniul chimiei
instructor de chimie
instructor chimie
profesor de chimie în învățământul superior
lector în chimie
instructor în chimie",,released,2024-01-25T10:45:29.856Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations","Cadrele didactice în învățământul superior în chimie sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, chimie, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a conduce practici de laborator, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din chimie, își publică constatările și colaborează cu alți colegi din universitate.",2310.1.8,http://data.europa.eu/ux2/nace2.1/854
Occupation,http://data.europa.eu/esco/occupation/e75305db-9011-4ee0-ab62-8d41a98f807e,8322,șofer personal,"valet
șofer privat
șofer",,released,2024-01-16T11:26:06.562Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Șoferii personali își transportă angajatorii la o anumită destinație în condiții de siguranță și la timp. Aceștia utilizează dispozitive de navigație pentru a ajunge la destinație în cel mai scurt timp posibil, oferă consiliere cu privire la condițiile meteorologice și de trafic și respectă normele legale în materie de condus.",8322.6,http://data.europa.eu/ux2/nace2.1/4933
Occupation,http://data.europa.eu/esco/occupation/e763dfa6-924d-493b-892a-6435e0cffe70,3331,responsabil import-export electrocasnice,specialist import-export electrocasnice,,released,2024-01-26T11:11:03.35Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Responsabili de import-export de electrocasnice dețin și aplică cunoștințe aprofundate cu privire la mărfurile de import și de export, inclusiv cu privire la vămuire și la documente.",3331.2.1.10,http://data.europa.eu/ux2/nace2.1/4643
Occupation,http://data.europa.eu/esco/occupation/e777fb61-16f5-476b-8262-578edfdb4d9d,2320,profesor  în învățământul profesional și tehnic/vocațional: educație fizică,"profesor de educatie fizica si sport in invatamantul profesional si tehnic
instructor în educație fizică
profesoară de educație fizică și sport în învățământul profesional și tehnic
profesor de educație fizică și sport în învățământul profesional și tehnic
instructor formator de educație fizica
profesoară educație fizică și sport  în învățământul profesional și tehnic
profesor în învățământul profesional și tehnic: educație fizică și sport",,released,2025-01-28T16:26:40.44Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Profesorii  în învățământul profesional și tehnic/vocațional: educație fizică predau elevilor în propriul domeniu specializat de studiu, educație fizică și sport, cu caracter predominant practic. Oferă instruire teoretică în sprijinul abilităților și tehnicilor practice pe care elevii trebuie să le stăpânească ulterior pentru o profesie în domeniul educației fizice și sportului, cum ar fi specialist în domeniul sănătății sau organizator de activități în aer liber. Îi introduc pe studenți în cadrele sociale convenabile din domeniul lor de studiu și predau atitudinile și valorile corespunzătoare. Monitorizează progresele elevilor, acordă asistență în mod individual atunci când este necesar și evaluează cunoștințele și practica în domeniul educației fizice și sportului prin teme, teste și examene.",2320.1.21,http://data.europa.eu/ux2/nace2.1/8532
Occupation,http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f,6113,peisagist grădini,"peisagist spații verzi
peisagistă spații verzi
administratoare de parcuri
administrator de spații verzi
administratoare de spații verzi
administrator de parcuri",,released,2024-01-23T12:32:36.339Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Peisagiștii de grădini planifică, construiesc, renovează și întrețin parcuri, grădini și spații verzi publice.",6113.5,http://data.europa.eu/ux2/nace2.1/813
Occupation,http://data.europa.eu/esco/occupation/e7ef8a86-6acd-458d-bf48-634b8fd28950,8141,operator la fabricarea cauciucului spongios/operator la fabricarea cauciucului spongios,"confecționer saltele
confecționeră saltele
operatoare în prelucrarea cauciucului
operator în prelucrarea cauciucului
confecționeră perne din cauciuc celular
operatoare la fabricarea covoarelor din cauciuc spongios
operator la fabricarea covoarelor din cauciuc spongios
confecționer perne din cauciuc celular
operator la fabricarea cauciucului spongios
confecționer perne din cauciuc spongios
confecționeră perne din cauciuc spongios",,released,2024-01-16T11:23:59.278Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Operatorii la fabricarea cauciucului spongios manipulează mașina care mixează particule din spumă de cauciuc cu latex lichid. Aceștia cântăresc cantitatea corespunzătoare de ingrediente și toarnă amestecurile în forme pentru confecționarea pernelor și a saltelelor.,8141.1.3,http://data.europa.eu/ux2/nace2.1/310
Occupation,http://data.europa.eu/esco/occupation/e7f6e98a-cef5-41be-b65c-70cf1feed11d,1420,manager magazin plante și flori,"manager magazin utilaje pentru grădină și accesorii
manager magazin scule și unelte pentru grădină
manager pepinieră
manager florărie
manager centru de grădinărit",,released,2024-01-26T12:46:14.133Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Managerii de magazin de plante și flori răspund de activitățile și personalul din magazinele specializate.,1420.4.22,http://data.europa.eu/ux2/nace2.1/4776
Occupation,http://data.europa.eu/esco/occupation/e80cee57-3672-4aaf-8ca7-53b90771c364,8141,operator la acoperirea curelelor trapezoidale/operatoare la acoperirea curelelor trapezoidale,"condiționer-finisor produse din cauciuc
finisor-reparator de produse industriale din cauciuc
operatoare la acoperirea curelelor trapezoidale
operator la acoperirea curelelor trapezoidale",,released,2024-01-16T11:23:25.132Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Operatorii la acoperirea curelelor trapezoidale acționează mașini care acoperă curele cu material textil cauciucat. Aceștia taie materialul textil după o rotație a curelei.,8141.1.9.1,http://data.europa.eu/ux2/nace2.1/2212
Occupation,http://data.europa.eu/esco/occupation/e81269d8-f301-4c82-9235-ba33ec9b0434,2250,osteopat veterinar,"specialistă în osteopatie veterinară
medic în osteopatie veterinară
osteopați veterinari
specialist în osteopatie veterinară
medic specializat în osteopatie veterinară",,released,2024-01-25T10:17:43.616Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Osteopații veterinari asigură un tratament terapeutic în urma unui diagnostic. Se concentrează asupra aplicării unor tehnici de tratament care folosesc manipularea țesuturilor corpului pentru a elimina tensiunea și a vindeca rănile la animale, în conformitate cu legislația națională.",2250.2,http://data.europa.eu/ux2/nace2.1/750
Occupation,http://data.europa.eu/esco/occupation/e83bf81f-c1d0-48e1-8533-7d65be8007c5,1324,"manager distribuție zahăr, ciocolată și produse zaharoase","director distribuție zahăr, ciocolată și produse zaharoase",,released,2024-01-26T13:57:16.407Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Managerii de distribuție de zahăr, ciocolată și produse zaharoase planifică distribuția de zahăr, ciocolată și produse zaharoase la diferite puncte de vânzare.",1324.3.1.6.26,http://data.europa.eu/ux2/nace2.1/4636
