cod_cor,denumire_ocupatie
215316,coordonator producție RTV
242235,coordonator programe de sport
242105,coordonator secretariat studiouri teritoriale
265217,tehnoredactor partituri
315303,copilot
732110,copist formare tipar plan
343519,copywriter publicitate (studii medii)
265422,copywriter publicitate (studii superioare)
343520,corector (studii medii)
264202,corector (studii superioare)
441302,corector editură presă
265402,corector transmisie
441303,corector-revizor poligrafie
265302,coregraf
265204,corepetitor
243218,corespondent comercial
264205,corespondent presă
264204,corespondent radio
214944,corespondent securitate - confidențialitate produs
264203,corespondent special (țară și străinătate)
752209,corhănitor
265205,corist
265224,corist operă
514201,cosmetician
216304,costumier
713301,coșar
311944,creator/conceptor articole vestimentare
343526,creator de conținut online
814206,"creator, modelier mase plastice"
612105,crescător bovine
612901,crescător de animale mici
612904,crescător de melci
612110,crescător de oi montan
612201,crescător de păsări
612206,crescător de păsări de rasă și pentru decor
612204,crescător de păsări pentru ouă de consum
612203,crescător de păsări pentru reproducție
612205,crescător de pui pentru carne
612106,crescător porcine
612902,crescător-îngrijitor animale sălbatice captive
612903,crescător-îngrijitor de animale de laborator
612102,crescător-îngrijitor de animale domestice pentru producția de lapte și carne
612906,crescător-îngrijitor de cabaline
264206,critic de artă
264220,critic literar
265231,critic muzical
753101,croitor
753201,"croitor - confecționer îmbrăcăminte, după comandă"
815902,croitor confecții industriale din blană
753206,croitor confecționer costume teatru
731831,croitor mănuși piele
814127,croitor pentru încălțăminte și articole tehnice din cauciuc
731833,croitor-ștanțator articole marochinărie
815603,croitor-ștanțator piese încălțăminte
731819,croșetor
421201,crupier
732101,culegător la mașina de cules și turnat rânduri (linotipist)
732102,culegător la mașina de perforat programe pentru mașinile de turnat text (monotastor)
732103,culegător la mașina de turnat rânduri pentru titluri (LUDLOV)
732104,culegător manual (zețar)
818125,cuptorar ceramică fină și decor
811401,cuptorar lianți
818133,cuptorar produse abrazive
818138,cuptorar produse din cărbune
818135,cuptorar produse refractare
818105,cuptorar recoacere sticlă
722111,cuptorar-termist pentru ferite
262114,curator
912102,curățătoreasă lenjerie
753108,curățitor - reparator pălării
713302,curățitor de fațade
812109,curățitor lingouri
816011,curățitor piei
722429,curățitor-sablator
752315,curbător lemn
752207,curbător-montator butoaie din lemn
753604,"curelar, confecționer harnașamente"
962101,curier
243214,curier diplomatic
731834,cusător articole marochinărie
815904,cusător confecții industriale din blană
731830,cusător mănuși piele
815605,cusător piese din piele și înlocuitori
814117,cusător piese la încălțăminte din cauciuc
511316,custode pentru arii protejate
413101,dactilografă
732208,dactilo-rotaprint
265307,dansator
341308,dascăl
241209,dealer
121109,dealer-șef (arbitragist bancă)
731402,debavurator-retușor la produse din ceramică fină
722428,debitator semifabricate
722117,debitator-eboșator
722405,debitator-șlefuitor perii de mașini electrice
112003,"decan, rector, prorector, prodecan"
812145,decapator
333105,declarant vamal
311601,decontaminator
343202,decorator interioare
731804,decorator în piele
751206,decorator produse cofetărie
516302,decorator servicii funerare
343204,decorator vitrine
816025,decorticator crupe
817228,decupator furnire
752217,decupator lamele din lemn pentru lăzi
235201,defectolog
731107,"degresator, curățător piese și aparate optice"
722315,degresator-imersioner
751501,degustător
751502,degustător de cafea
813153,delaborator muniție
111411,delegat sindical
111432,delegat sindical local
742216,depanator telefoane mobile inteligente/tablete
111138,deputat
514210,dermopigmentist
817229,derulatorist
311803,desenator
343203,desenator artistic (studii medii)
343205,desenator artistic (studii superioare)
732111,desenator cromolitograf
265103,desenator film animație
311801,desenator tehnic
817227,desenator-însemnator cherestea
251308,designer de nivel jocuri digitale
216607,designer florist
216601,designer grafică (studii medii)
216611,designer grafică (studii superioare)
216301,designer industrial
235904,designer instrucțional
216614,designer jocuri digitale
216613,designer pagini web (studii medii)
216610,designer pagini web (studii superioare)
216307,designer vestimentar
352135,designer video
335502,detectiv
335504,detectiv particular
712601,detector pierderi apă și gaze
814111,devulcanizator regenerare cauciuc
812107,dezbătător lingouri
235905,dezvoltator de e-learning
251105,dezvoltator de sisteme în domeniul TIC
251211,dezvoltator interfața cu utilizatorul
251210,dezvoltator în domeniul tehnologiei
251307,dezvoltator jocuri digitale
263611,diacon
341306,diacon
226502,dietetician
111208,director adjunct instituție publică
112005,director adjunct societate comercială
143104,director așezământ cultural
141117,director bar
141115,director berărie
141114,director braserie
141118,director cafenea
112035,director casa corpului didactic
133001,director centru de calcul
143910,director centru informare turistică
235919,director Centrul Județean de Resurse și Asistență Educațională (CJRAE)
134508,director club sportiv școlar
141121,"director cofetărie, patiserie"
112017,director comercial
112016,director control risc
141113,director cramă
143909,director de agenție de turism tour-operatoare/ detailistă/ filială/ sucursală
121113,director de arhivă bancă
111209,director de cabinet
141108,director de camping
141123,director de cazare
141122,director de club (hotelier)
265432,director de creație
141202,director de departament alimentație
141203,director de departament catering
143911,director de departament organizare evenimente
143918,director de departament ticketing
141105,director de hotel
141107,director de hotel pentru tineret
141106,director de motel
141110,director de popas turistic
112013,director de program
141109,director de sat de vacanță
112031,director de societate comercială agricolă
112027,director departament cercetare-dezvoltare
133006,director departament informatică
134920,director departament securitate
112038,director dezvoltare afacere în domeniul agroalimentar
141119,director disco-bar
133005,director divizie informatică
112020,director economic
121104,director executiv bancă/ director/director adjunct
112040,director executiv cooperativă agricolă
122307,director filială cercetare-proiectare
111238,director general adjunct
112015,director general adjunct regie autonomă
112012,director general adjunct societate comercială
112025,director general institut național de cercetare-dezvoltare
111210,director general instituție publică
112014,director general regie autonomă
112011,director general societate comercială
121103,director general/ director general adjunct bancă/ societate de leasing
141116,director grădină de vară
265420,director imagine
132456,"director import export cafea, ceai, cacao și mirodenii"
112026,director incubator tehnologic de afaceri
111207,director instituție publică
112021,director magazin
122104,director operații tranzacții
134507,director palate și cluburi ale elevilor
121920,director pentru relația cu investitorii
265427,director producție film
122313,director proiect
141111,director restaurant
112033,director resurse umane
141112,director rotiserie
112004,director societate comercială
112023,director sucursală
112007,director științific cercetare-dezvoltare
112024,director tehnic
121110,director unitate bancară operațională/ director adjunct unitate bancară operațională
134502,director unitate de învățământ
141120,director unități tip fast-food
112018,director vânzări
132405,director zbor
121114,director/ director adjunct divizie/ direcție de leasing
112019,"director/ director adjunct, inspector-șef"
121116,director/ director executiv conformitate
133043,diriginte oficiu telecomunicații
132432,diriginte oficiu transporturi
441205,diriginte poștă
311210,diriginte șantier
214214,diriginte șantier (studii superioare)
265206,dirijor
265249,dirijor ansamblu vocal bisericesc
265221,dirijor cor
343525,disc jockey
441102,discotecar
818141,discuitor de produse ceramice la mașini
432201,dispecer
215102,"dispecer centrală, hidrocentru, cascadă, dispecerate teritoriale"
541408,dispecer centru de alarmă
215101,dispecer energetic feroviar
311301,dispecer gestiune uraniu
315510,dispecer operațiuni de zbor
432205,dispecer operațiuni salubrizare
515108,dispecer pentru servire în cameră (hotel)
215103,dispecer rețea distribuție
215104,dispecer rețele de înaltă tensiune
315404,dispecer sol
813118,distilator în industria chimică
313403,distilator la prelucrarea țițeiului
811202,distilator la prepararea cărbunelui
816049,distilator rachiuri naturale
962104,distribuitor presă
834310,docher
834312,docher instalații de încărcare/ descărcare la bordul navei și cheu
834313,docher-amarator
834314,docher-mecanizator
343516,documentarist (studii medii)
262203,documentarist (studii superioare)
265255,documentarist muzică
214137,documentarist ordonanțare logistică
731711,dogar manual
722313,dozator la fabricarea electrozilor de sudură
812120,dozator la producerea aglomeratului
814113,dozator prelucrare cauciuc
315209,dragor maritim/ fluvial
711909,drenor canalist
265908,dresor
516404,dresor câini
711501,dulgher (exclusiv restaurator)
711502,dulgher restaurator
722118,dusisator-polizator
263648,eclesiarh
213305,ecolog
241224,economist bancă
121102,economist-șef
265431,editor coordonator programe TV
352119,editor imagine
265419,editor RTV (știri)
264207,editorialist
341501,educatoare
234202,educatoare
541302,educator în penitenciare
235203,educator în unități de handicapați
341502,educator puericultor
234203,educator puericultor
531203,educator specializat
341304,egumen / egumenă
741205,electrician aparate măsură-control și automatizare în centrale termoelectrice și nuclearoelectrice
723101,electrician auto
741108,electrician constructor instalator aparatură de măsură și control
741106,electrician constructor montator aparataj și cabluri de joasă tensiune
741107,electrician constructor montator aparataj și cabluri de medie și înaltă tensiune
741109,electrician constructor pentru probe și încercări funcționale
741102,electrician de întreținere în construcții
741307,electrician de întreținere și reparații
741312,electrician de mină
742101,electrician depanator utilaje calcul
741201,electrician echipamente electrice și energetice
741301,electrician exploatare centrale și stații electrice
741302,electrician exploatare rețele electrice
352103,electrician iluminare filmare
343521,electrician iluminare scenă
741101,electrician în construcții
741110,electrician în construcții civile și industriale
741206,"electrician montare și reparații aparataj electric de protecție, relee, automatizare"
741303,electrician montare și reparații cabluri electrice subterane
741305,"electrician montare și reparații echipament electric din centrale, stații și posturi de transformare electrice"
741304,electrician montare și reparații linii electrice aeriene
741308,electrician montator de instalații automatizate
741309,electrician montator de instalații electrice la mijloace de transport
741213,electrician nave
741314,electrician operator
741310,electrician pentru protecția catodică
741313,electrician pentru utilizarea energiei electrice
741306,"electrician protecție relee, automatizări și măsurători electrice"
741311,electrician rural
741208,electrician verificări și măsurători electrice în centrale și rețele electrice
742214,electromecanic
723102,electromecanic auto
742213,electromecanic automatizări și telecomunicații
742211,electromecanic electroalimentare
741215,electromecanic mașini și echipamente electrice
742203,electromecanic radio-radioficare
741203,electromecanic reparator obiecte de uz casnic
742204,electromecanic rețele cabluri
742205,electromecanic rețele linii
742202,"electromecanic SCB (semnalizare, centralizare, blocare)"
741216,electromecanic stație pompare apă-canal
742206,"electromecanic telegrafie, telefonie"
812113,electrometalurgist
742102,electronist depanator utilaje calcul
742207,electronist telecomunicații
812205,emailator
812211,emailator firme și decoruri
812210,emailator insigne și decorații
731607,emailator manual/artizan
812215,emailator prin imersiune
812212,emailator prin pudrare
812213,emailator prin pulverizare
214539,enolog
263612,episcop
263638,episcop-vicar
263637,episcop-vicar patriarhal
225001,epizotolog
812117,epurator gaze
226309,ergonomist
325503,ergoterapeut
331501,estimator licitații
352104,etaloner
265258,etnomuzicolog
241210,evaluator
242121,evaluator accesibilitate
331502,evaluator asigurări
241251,evaluator autorizat
241267,evaluator bunuri culturale
242405,evaluator de competențe profesionale
242409,evaluator de evaluatori
242408,evaluator de furnizori și programe de formare
541411,evaluator de risc de efracție
242115,evaluator de risc la securitatea fizică
226307,evaluator de risc și auditor în domeniul securității și sănătății în muncă
242410,evaluator extern
242411,evaluator în sistemul formării profesionale continue
241263,evaluator proiecte
314107,evaluator și auditor de mediu
331503,evaluator tehnic daune auto
242210,examinator de stat de specialitate
263613,exarh
811106,excavatorist pentru excavatoare cu rotor de mare capacitate
261917,executor bancar
261901,executor judecătoresc
341107,"executor judecătoresc (tribunal, judecătorie)"
432331,expeditor internațional
335406,expert
242213,expert accesare fonduri structurale și de coeziune europene
242116,expert achiziții publice
212006,expert actuar
242202,expert administrația publică
242219,expert aplicare legislație armonizată în domeniul industriei și comerțului
216105,expert arhitect
261911,expert armonizare legislativă
242240,expert autorizare proiecte de dezvoltare regională
213118,expert bacteriolog
213122,expert biochimist
213102,expert biolog
213106,expert botanist
231006,expert centre de perfecționare
211303,expert chimist
243224,expert comunicare guvernamentală
241238,expert conformitate
241102,expert contabil-verificator
241257,expert contractare activități investiționale
261902,expert criminalist
242232,expert dezvoltare durabilă
213301,expert ecolog
241259,expert eficientizare investiții
242234,expert e-guvernare
214947,expert elaborare documentații tehnice de montaj
241261,expert elaborare-evaluare documentații achiziții investiționale
241260,expert evaluare-actualizare devize generale investiții
213126,expert farmacolog
241204,expert financiar-bancar
241221,expert fiscal
242302,expert forță de muncă și șomaj
211406,expert geofizician
211402,expert geolog
211410,expert hidrogeolog
211414,expert hidrolog
242217,expert informații pentru afaceri
213202,expert inginer agronom
214505,expert inginer chimist
214210,expert inginer construcții
213206,expert inginer horticol
214518,expert inginer industria alimentară
214120,expert inginer industrializarea lemnului
214434,expert inginer mecanic
214607,expert inginer metalurg
214611,expert inginer minier
214509,expert inginer petrochimist
214619,expert inginer petrolist
214906,expert inginer prelucrarea sticlei și ceramicii
213220,expert inginer silvic
214914,expert inginer tehnologia celulozei și hârtiei
214107,"expert inginer textile, pielărie"
213210,expert inginer zootehnist
242107,expert în conducerea și organizarea activităților de mentenanță
252909,expert în criminalistică informatică
242230,expert în egalitate de șanse
241256,expert în ingineria costurilor investiționale
252905,expert în investigații digitale
241262,expert în management activități investiționale
214236,expert în monitorizarea comportării construcțiilor
214537,expert în prăjirea cafelei
252904,expert în securitate cibernetică
242304,expert în securitate și sănătate în muncă
235104,expert învățământ
261903,expert jurist
242220,expert legislația muncii
441902,expert local pe problemele romilor
263219,expert localizare
212002,expert matematician
221104,expert medic
213130,expert microbiolog
214948,expert monitorizare și control lucrări de montaj
251306,expert în optimizarea motoarelor de căutare
211418,expert pedolog
263413,expert poligraf
214949,expert prevenire - reducere riscuri tehnologice
261920,expert prevenire și combatere a corupției
241258,expert recepție investiții industriale
243213,expert relații externe
441903,expert relații sociale
212012,expert statistician
252902,expert surse deschise
214951,expert tehnic extrajudiciar
214950,expert urmărire comportare în exploatare lucrări montaj
213110,expert zoolog
335105,expert/ inspector vamal
325704,expert/ specialist standardizare
242221,expert/specialist în parteneriat public-privat
813113,extractorist în chimie
813116,extractorist uleiuri volatile naturale și colesterină
341204,facilitator de dezvoltare comunitară
441206,factor poștal
432202,facturist
712201,faianțar
226201,farmacist
226203,farmacist de specialitate
134206,farmacist-șef
226205,farmacist primar
226202,farmacist rezident
134205,"farmacist șef secție, laborator"
213133,farmacolog
711910,fascinar
752311,fasonator calapoade
817226,fasonator cherestea
752324,fasonator creioane și tocuri
621003,fasonator mecanic (cherestea)
731404,fasonator produse ceramice
817219,fasonator-sortator filme
817230,fasonator-uscător furnire
612202,fazanier
911201,femeie de serviciu
813114,fermentator în chimie
816045,fermentator oțet
611301,fermier în horticultură
613002,fermier în producția animală
613001,fermier în producția vegetală
711402,fierar betonist
722112,fierar/ potcovar
817103,"fierbător-spălător celuloză, hârtie"
731733,fierbător-uscător de păr
265907,figurant
731814,filator
731208,filator corzi pentru piane
813110,filator fibre sticlă
441103,filmotecar
264301,filolog
263301,filozof
722320,finisator electrozi de sudură
721402,finisor ace și accesorii
752313,finisor calapoade
721401,finisor cocleți
815906,finisor confecții industriale din blană
752325,finisor creioane și tocuri
722114,finisor ferite
817107,"finisor hârtie, carton, mucava"
815608,finisor încălțăminte
814108,finisor încălțăminte și articole tehnice din cauciuc
817222,finisor la înnobilare PFL
812144,finisor laminate și trefilate
731832,finisor mănuși piele
818131,finisor produse abrazive
811403,finisor produse din azbociment
818139,finisor produse din cărbune
711911,finisor terasamente
731825,"finisor textile (vopsitor, imprimeur)"
814205,finisor-asamblator obiecte din mase plastice
713203,finisor-lăcuitor lemn
814105,finisor-reparator de produse industriale din cauciuc
211101,fizician
226906,fizician medical
226401,fiziokinetoterapeut
226402,fizioterapeut
611203,florar-decorator
611204,floricultor
811208,flotator la prepararea cărbunilor
818207,fochist la cazane de apă caldă și cazane de abur de joasă presiune
818202,fochist la mașini cu abur
818201,fochist locomotivă cu abur
818208,fochist pentru cazane conduse de calculator
818204,fochist pentru cazane de abur și de apă fierbinte
818206,fochist pentru cazane mici de abur
441104,fonotecar
722106,forjor manual
722108,forjor mecanic
722107,forjor-arcurar
722101,forjor-matrițer
242401,formator
242402,formator de formatori
817212,formator finisor plăci
817221,formator la înnobilare PFL
817217,formator PFL
817211,formator presator plăci brute
818136,formator produse refractare
817233,formator șlefuitor produse stratificate
721406,formator țevi prin sudare
722113,formator-presator ferite
342101,fotbalist profesionist
813201,fotoceramist
813202,fotocopist
343101,fotograf
732115,fotogravor
813203,fotopoligraf
264208,fotoreporter
813204,fotoreproducător
441105,fototecar
831201,frânar
722415,frezor la mașini roți dințate
722408,frezor universal
817231,frezor-îmbinător furnire tehnice
732105,frezor-montator clișee
712701,frigoriferist (frigotehnist)
514102,frizer
411001,funcționar administrativ
422110,funcționar agenție voiaj
441502,funcționar documentare
431102,funcționar economic
441901,funcționar ghișeu servicii publice
432302,funcționar informații
422502,funcționar informații clienți
341106,"funcționar în activități comerciale, administrative și prețuri"
834303,funicularist
834307,"funicularist, funiculare pasagere"
812102,furnalist
812201,galvanizator
962903,garderobier
541906,gardian feroviar
752215,gardinator
711303,"gaterist la tăiat blocuri de piatră, marmură"
817224,gaterist la tăiat bușteni
516902,gazdă club
722409,găuritor- filetator
712501,geamgiu
241266,gemolog
211423,geofizician
263202,geograf
211422,geolog
122302,geolog-șef
216509,geomatician
211441,geomorfolog
343523,gestionar custode sală
432101,gestionar depozit
731807,ghemuitor
511320,ghid canioning
343515,ghid de animație
511301,ghid de turism
511302,ghid de turism intern (local)
511304,"ghid de turism montan, drumeție montană"
511310,ghid de turism sportiv (alpinism și cățărări pe stânci/ schi/ bob/ înot/ canotaj/ iahting/ zbor cu aparate ultraușoare)
511305,ghid galerii de artă/ interpret
511306,"ghid habitat natural floră, faună"
511311,ghid montan
511303,ghid național de turism (tour-operator)
511312,ghid obiectiv cultural
511309,ghid turism ecvestru
511307,ghid turism ornitologic
511308,ghid turism speologic
511319,ghid turistic pentru peșteri amenajate
532102,gipsar
731309,giuvaergiu
731405,glazurator produse din ceramică fină
962902,gonaci
515201,gospodar
752316,gradator rechizite și articole tehnice din lemn
731602,gradator vase și aparate de laborator
265104,grafician
216612,grafician calculator (studii medii)
216302,grafician industrial
432340,grafician mers de tren
264308,grafolog
812116,granulator zgură
818132,granulator/ sortator abrazive
731306,gravor manual
722416,gravor mecanic
731117,gravor piese optice
732114,gravor plăci litografice
732113,gravor plăci metalice
731603,gravor produse de sticlă
611303,grădinar
341103,grefier
341114,grefier arhivar
341109,expert tehnic judiciar
341111,grefier documentarist
341115,grefier registrator
341110,grefier statistician
121910,"grefier șef de secție (curte de apel, tribunal, parchete)"
121909,"grefier-șef (judecătorie, parchet)"
962202,gropar
531102,guvernantă
515102,guvernantă de hotel/ etaj
111108,guvernator
263614,haham
962102,hamal
263615,harmonist
263616,hatip
732212,heliografist
612907,herghelegiu
211446,hidrogeolog
211424,hidrolog
131101,hidrometeorolog-șef
265904,hipnotizator
722410,"honuitor, rodator-lepuitor"
226306,igienist
713104,ignifugator
352121,ilustrator muzical
265207,ilustrator muzical
516912,iluzionist de circ
263617,imam
432304,impiegat auto
432335,impiegat de mișcare metrou
422501,impiegat informații
432305,impiegat informații aviație
432306,impiegat registru mișcare
817218,impregnator la înnobilare PFL
814114,impregnator produse din cauciuc
752307,impregnator-uscător chibrituri
333908,impresar artistic
333903,impresar muzical
342210,impresar sportiv
333904,impresar teatru
732203,imprimator serigraf
732202,imprimeur textil
962203,incinerator
532103,infirmier/infirmieră
223007,inforenergetician radiestezist
213225,inginer agronom
214311,inginer auditor/evaluator sisteme de management de mediu
215202,inginer automatist
214412,inginer autovehicule rutiere
214406,inginer aviație
214957,inginer biomedical
213152,inginer biotehnolog
214204,"inginer căi ferate, drumuri și poduri"
215152,inginer centrale eoliene
215151,inginer centrale fotovoltaice
214513,inginer chimist
226301,inginer clinic
215162,inginer conducere și control sisteme de utilități energetice
214101,inginer confecții piele și înlocuitori
214206,inginer constructor instalații
214201,"inginer construcții civile, industriale și agricole"
214205,inginer construcții hidrotehnice
211111,inginer de cercetare de aeronave
213240,inginer de cercetare în agricultură
213249,inginer de cercetare în agromontanologie
215239,inginer de cercetare în automatică
214473,inginer de cercetare în autovehicule rutiere
215236,inginer de cercetare în calculatoare
214302,inginer de cercetare în centrale hidroelectrice în ingineria mediului
215140,inginer de cercetare în centrale nuclearoelectrice
215137,inginer de cercetare în centrale termoelectrice
215227,inginer de cercetare în comunicații
214929,inginer de cercetare în confecții din piele și înlocuitori
211114,inginer de cercetare în construcții aerospațiale
214216,"inginer de cercetare în construcții civile, industriale și agricole"
214219,"inginer de cercetare în construcții de căi ferate, drumuri și poduri"
214470,inginer de cercetare în construcții de mașini agricole
214222,inginer de cercetare în construcții hidrotehnice
214226,inginer de cercetare în construcții miniere
214534,inginer de cercetare în controlul calității produselor alimentare
214482,inginer de cercetare în creația tehnică în construcția de mașini
214461,inginer de cercetare în echipamente de proces
214452,inginer de cercetare în echipamente și instalații de bord
215143,inginer de cercetare în electroenergetică
215125,inginer de cercetare în electrofizică
215131,inginer de cercetare în electromecanică
215224,inginer de cercetare în electronică aplicată
215122,inginer de cercetare în electrotehnică
215146,inginer de cercetare în energetică industrială
214932,inginer de cercetare în exploatări forestiere
214627,inginer de cercetare în exploatări miniere
214920,inginer de cercetare în filatură-țesătorie
211439,inginer de cercetare în geodezie
213246,inginer de cercetare în horticultură
214232,inginer de cercetare în ingineria materialelor oxidice
214639,inginer de cercetare în ingineria proceselor siderurgice
214224,inginer de cercetare în ingineria sanitară și protecția mediului
214229,inginer de cercetare în instalații
214656,inginer de cercetare în instalații și utilaje pentru transportul și depozitarea produselor petroliere
214458,inginer de cercetare în mașini hidraulice și pneumatice
214455,inginer de cercetare în mașini și echipamente termice
214485,inginer de cercetare în mașini și instalații mecanice
214464,inginer de cercetare în mecanică fină
214642,inginer de cercetare în metalurgia neferoasă
215128,inginer de cercetare în metrologie
215230,inginer de cercetare în microelectronică
213242,inginer de cercetare în pedologie-agrochimie
214127,inginer de cercetare în pescuit și acvacultură
214528,inginer de cercetare în petrochimie și carbochimie
214633,inginer de cercetare în petrol (extracție-prospecțiune)
214936,inginer de cercetare în prelucrarea lemnului
214648,inginer de cercetare în prelucrări plastice și tratamente termice
214630,inginer de cercetare în prepararea substanțelor minerale utile
214934,inginer de cercetare în proiectarea mobilei și produselor finite din lemn
214309,inginer de cercetare în protecția mediului
213252,inginer de cercetare în silvicultură
214449,inginer de cercetare în sisteme de propulsie
214651,inginer de cercetare în știința materialelor
214942,"inginer de cercetare în tehnologia celulozei, hârtiei, poligrafiei și fibrelor"
214926,"inginer de cercetare în tehnologia chimică a produselor textile, pieii, blănurilor și înlocuitorilor"
214531,inginer de cercetare în tehnologia compușilor macromoleculari
214467,inginer de cercetare în tehnologia construcțiilor de mașini
214124,inginer de cercetare în tehnologia prelucrării produselor agricole
214522,inginer de cercetare în tehnologia substanțelor anorganice
214525,inginer de cercetare în tehnologia substanțelor organice
214939,inginer de cercetare în tehnologie și echipamente neconvenționale
214654,inginer de cercetare în tehnologii carbochimice
215233,inginer de cercetare în telecomenzi și electronică în transporturi
214636,inginer de cercetare în topografie minieră
214923,inginer de cercetare în tricotaje-confecții textile
214645,inginer de cercetare în turnarea metalelor
214476,inginer de cercetare în utilaje și instalații portuare
214479,inginer de cercetare în utilaje și tehnologia ambalării
215134,inginer de cercetare roboți industriali
251212,inginer de date complexe (big data)
251207,inginer de dezvoltare a produselor software
251106,inginer de integrare
214490,inginer de proces în tratarea/epurarea apei
215212,inginer de recepție și control aeronave
252912,inginer de securitate sisteme înglobate
251203,inginer de sistem în informatică
251205,inginer de sistem software
215157,inginer echipamente și sisteme hidroenergetice
213304,inginer ecolog
263109,inginer economist
215149,inginer electrician
215216,inginer electromecanic
214403,inginer electromecanic minier
215201,inginer electromecanic SCB
215204,"inginer electronist transporturi, telecomunicații"
215303,inginer electrotehnist
215301,inginer emisie
215159,inginer energetica clădirilor
215108,inginer energetică industrială
215156,inginer exploatare centrale hidroelectrice
215115,inginer exploatare centrale nuclearoelectrice
215153,inginer exploatare centrale termoelectrice
214954,inginer exploatare echipamente și instalații nucleare
215117,inginer exploatare instalații nucleare
214658,inginer foraj
216502,inginer geodez
211421,inginer geolog
215114,inginer hidroenergetică
213230,inginer horticultor
215314,inginer iluminare
215304,inginer imagine
214117,inginer industrializarea lemnului
214203,inginer instalații pentru construcții
215242,inginer în instrumentație de măsură
213223,inginer îmbunătățiri funciare
252911,inginer în domeniul securității TIC
251209,inginer în domeniul tehnologiilor cloud
214307,inginer în gestiunea integrată a deșeurilor municipale/industriale
214514,inginer în industria alimentară
214142,inginer în producția alimentară
251208,"inginer în realizarea, întreținerea și dezvoltarea aplicațiilor web"
214956,inginer în sisteme optice
215158,inginer management resurse de apă
214411,inginer mașini hidraulice și pneumatice
214410,inginer mașini termice
214408,inginer mașini-unelte
214404,inginer material rulant cale ferată
214903,inginer materiale de construcții
214401,inginer mecanic
214419,inginer mecanic mașini instalații miniere
214413,inginer mecanic utilaj tehnologic chimic
214415,inginer mecanic utilaj tehnologic mașini agricole
214417,inginer mecanic utilaj tehnologic pentru construcții
214418,inginer mecanic utilaj tehnologic pentru prelucrare la cald
214414,inginer mecanic utilaj tehnologic petrolier
214416,inginer mecanic utilaj tehnologic textil
214405,inginer mecanică agricolă
214409,inginer mecanică fină
214491,inginer mecatronist
214143,inginer mentenanță și reparații
214601,inginer metalurgie extractivă
214615,inginer metalurgie neferoasă
214625,inginer mineralurg
214602,inginer minier
215302,inginer montaj
214407,inginer nave
215203,inginer navigație
214306,inginer pentru controlul poluării mediului
214960,"inginer pentru inspecția și verificarea tehnică a cazanelor, instalațiilor de ridicat și recipientelor sub presiune"
214447,"inginer pentru protecția navigației aeriene (comunicații, navigație, supraveghere)"
214501,inginer petrochimist
214616,inginer petrolist
214439,inginer pilot de încercare
214901,inginer prelucrarea sticlei și ceramicii
214614,inginer prelucrări metalurgice
214605,inginer preparator minier
215205,inginer producție
215160,inginer programare și optimizare a instalațiilor și proceselor energetice
215310,inginer proiectant comunicații
215111,proiectant inginer energetician
214304,inginer protecția mediului în energetică
214958,inginer punere în funcțiune
215112,inginer rețele electroenergetice
215163,inginer rețele și sisteme hidraulice
215155,inginer securitate obiective nucleare
214240,inginer geotehnician în construcții miniere
215222,inginer sisteme de securitate
214493,inginer sisteme de transport operațional
215105,inginer sisteme electroenergetice
214310,inginer sisteme informatice pentru instalații și procese de depoluare
215109,inginer sisteme termoenergetice
214959,inginer specialist în robotică
214496,inginer sudor
215305,inginer sunet
215306,inginer- șef car reportaj
132210,inginer- șef exploatare nucleară
142009,inginer șef firme de afaceri și alte servicii comerciale
132302,inginer- șef în construcții
134903,"inginer- șef întreprinderi de reparații obiecte de uz casnic, curățătorii și alte servicii pentru populație"
132211,inginer- șef radioprotecție
132406,inginer- șef transporturi
214445,inginer tehnolog în fabricarea armamentului și muniției
214305,inginer tehnolog în protecția mediului
213215,inginer tehnolog în zootehnie
214622,inginer tehnolog metalurg
215161,inginer tehnologii informatice în energetică
214308,inginer tehnologii informatice în protecția mediului
214102,"inginer textile, pielărie"
216504,inginer topograf
216505,inginer topograf minier
214144,inginer transporturi rutiere de mărfuri
214145,inginer transporturi rutiere de persoane
214103,"inginer tricotaje, confecții"
214492,inginer utilaje gospodărie comunală și ecologizare/salubrizare
251108,inginer viziune computerizată
213226,inginer zootehnist
215312,inginer/ inspector de specialitate/ referent de specialitate/ expert în serviciile de trafic aerian
213224,inginer/ subinginer silvic
214444,inginer/ subinginer tehnolog prelucrări mecanice
131102,inginer-șef agricultură și silvicultură
132201,inginer-șef industria extractivă
132101,inginer-șef industria prelucrătoare
131202,inginer-șef piscicultură și vânătoare
215308,inginer-șef schimb emisie
711406,injectorist în construcții
731604,inscripționer pe produse de sticlă și ceramică
242237,inspector aeronautic
241206,inspector asigurări
343405,inspector calitate producție culinară
241264,inspector casier
241246,inspector coordonator asigurări
241249,inspector coordonator daune
311535,inspector cu supravegherea și verificarea tehnică a instalațiilor
263618,inspector culte
263110,inspector de concurență
242209,inspector de integritate
335501,inspector de poliție
261922,inspector de probațiune
214953,inspector/ referent în gestiunea materialelor și mijloacelor fixe
241247,inspector de risc
541410,inspector de securitate
212007,inspector de specialitate actuar
216106,inspector de specialitate arhitect
241242,inspector de specialitate asigurări
213119,inspector de specialitate bacteriolog
213123,inspector de specialitate biochimist
213103,inspector de specialitate biolog
213107,inspector de specialitate botanist
211304,inspector de specialitate chimist
241248,inspector de specialitate daune
213302,inspector de specialitate ecolog
