cod_cor,denumire_ocupatie
532905,asistent personal de îngrijire
532904,asistent personal profesionist
265429,asistent producție film
341113,asistent registrator
261923,asistent registrator principal
343510,asistent regizor artistic
216606,asistent regizor emisie
216605,asistent regizor studio
333906,asistent relații publice și comunicare (studii medii)
265435,asistent scenograf
263505,asistent social cu competență în sănătatea mintală
341201,tehnician asistență socială
263501,asistent social
325707,asistent standardizare
231001,asistent universitar
324002,asistent veterinar
322201,asistentă puericultoare
516101,astrolog
111232,atașat diplomatic
242239,atașat pentru muncă și afaceri sociale
226604,audiolog
213311,auditor de mediu
242228,auditor de securitate a aviației civile
252906,auditor de securitate cibernetică
214952,auditor de siguranță rutieră
226310,auditor de sistem de management al sănătății și securității în muncă
215150,auditor electroenergetic
214138,auditor energetic pentru clădiri
214141,auditor / evaluator sisteme de management de securitate
241107,auditor financiar
241105,auditor intern
241306,auditor intern în sectorul public
214130,auditor în domeniul calității
226311,auditor în domeniul siguranței alimentare
214139,auditor în managementul riscului
121131,auditor public extern
242901,auditor responsabilitate socială
325716,auditor responsabilitate socială
215154,auditor termoenergetic
742201,automatist
313111,automatist pentru supraveghere și întreținere cazane
321201,autopsier
324003,autopsier la ecarisaj
432323,avizier căi ferate
261101,avocat
531103,baby sitter
612108,baci montan
213134,bacteriolog
265301,balerin
513201,barman
343402,barman - șef
513202,barman preparator
513203,barman preparator de cafea (barista)
532101,băieș
711401,betonist
262201,bibliograf
441101,bibliotecar (studii medii)
262202,bibliotecar (studii superioare)
262206,bibliotecar arhivist
731308,bijutier metale comune
731302,bijutier metale prețioase
214512,biochimist
226915,biochimist medical principal
226912,biochimist medical specialist
134202,"biochimist șef secție, laborator"
223006,bioenergetician
226904,bioinginer medical
213114,biolog
226916,biolog medical principal
226913,biolog medical specialist
134203,"biolog șef secție, laborator"
753110,"blănar - confecționer îmbrăcăminte din blană, după comandă"
731103,"blocator, chituitor, deblocator"
741202,bobinator aparataj electric
741207,bobinator condensatori pentru instalații electrice
741204,bobinator mașini electrice rotative
741209,bobinator transformatoare
531104,bonă
213236,bonitor la animalele de fermă
213116,botanist
325801,brancardier
243207,brand manager
721201,brazor
811201,brichetator cărbune
731501,brigadier la fabricarea sticlei
314310,brigadier silvic
753305,broder la gherghef
753301,broder manual
753304,broder manual - mecanic
331104,broker bursa de mărfuri
331109,broker de servicii pentru afaceri
241265,broker de tehnologii
332102,broker în asigurări
722414,broșator
751201,brutar
512001,bucătar
343403,bucătar - șef
512003,bucătar specialist/ vegetarian/ dietetician
524601,bufetier
343201,butafor
515101,cabanier
731809,cablator frânghii
541902,cadru tehnic cu atribuții în domeniul prevenirii și stingerii incendiilor
814109,calandror la finisarea cauciucului
331301,calculator devize
431101,calculator preț cost
331101,cambist (broker valori)
352131,cameraman
516201,cameristă hotel
833205,camionagiu
962301,cantaragiu
265229,cântăreț
341307,cântăreț bisericesc
711905,cantonier
263604,cantor
421205,cap de masă (cazino)
263605,capelan
621002,carbonitor
815112,cardator
263606,cardinal
343506,caricaturist (studii medii)
265101,caricaturist (studii superioare)
751101,carmangier
441202,cartator poștal
441203,cartator presă
441204,cartator telegrame
216501,cartograf
814301,cartonagist
265906,cascador
523003,casier
962302,casier încasator
523004,casier metrou
421101,casier tezaur
421107,casier trezorier
421102,casier valută
341309,catehet
721308,cazangiu formator
721301,cazangiu recipiente
721307,cazangiu țevar
912101,călcătoreasă lenjerie
812139,călitor prin inducție sau cu flacără
812140,călitor scule
341301,călugăr / călugăriță
315201,căpitan fluvial
315202,căpitan port
215219,căpitan port (studii superioare)
215218,căpitan secund
132401,căpitan- șef port
933101,cărăuș
753107,ceaprazar - șepcar
731104,ceasornicar
731105,"centrator, debordator piese optice"
731106,"centrator, finisor aparate optice"
241201,cenzor
211110,cercetător de aeronave
263207,cercetător de dezvoltare comunitară
214495,cercetător de nave
263116,cercetător economist în economia generală
263114,cercetător economist în economia mediului
263118,cercetător economist în economie agroalimentară
263124,cercetător economist în gestiunea economică
263112,cercetător economist în management
263120,cercetător economist în marketing
263122,cercetător economist în relații economice internaționale
213239,cercetător în agricultură
213248,cercetător în agromontanologie
263210,cercetător în antropologie
213150,cercetător în antropologie biologică
263214,cercetător în arheologie
216109,cercetător în arhitectură
216308,cercetător în arte plastice - design industrial
216310,"cercetător în arte plastice - textile (tapiserie, contexturi, modă, imprimeuri)"
216312,"cercetător în arte plastice-sticlă, ceramică, metal"
263510,cercetător în asistența socială
211108,cercetător în astronomie
215238,cercetător în automatică
214472,cercetător în autovehicule rutiere
211308,cercetător în biochimie tehnologică
213136,cercetător în biologie
213140,cercetător în biologie chimie
213153,cercetător în bioinformatică
213256,cercetător în biotehnologie pentru agricultură
213142,cercetător în botanică
215235,cercetător în calculatoare
214301,cercetător în centrale hidroelectrice în ingineria mediului
215139,cercetător în centrale nuclearoelectrice
215136,cercetător în centrale termoelectrice
211306,cercetător în chimie
211310,cercetător în chimie fizică
215226,cercetător în comunicații
214928,cercetător în confecții din piele și înlocuitori
211113,cercetător în construcții aerospațiale
214215,"cercetător în construcții civile, industriale și agricole"
214218,"cercetător în construcții de căi ferate, drumuri și poduri"
214469,cercetător în construcții de mașini agricole
214221,cercetător în construcții hidrotehnice
214225,cercetător în construcții miniere
214533,cercetător în controlul calității produselor alimentare
214481,cercetător în creația tehnică în construcția de mașini
